dataset,ESPRESSO,BOCD,Window,BinSeg,FLOSS,ClaSP,fluss1,fluss2,fluss3,fluss4,fluss5
ProximalPhalanxTW,0.505,0.395,0.897,0.973,0.496,0.982,0.4961419350103584,0.49957629238465806,0.5001054343927983,0.5001054343927983,0.49984083730978
ShapeletSim,1.0,1.0,1.0,1.0,1.0,1.0,0.7859809954223536,0.5788111905069839,0.5810967898832684,0.3884570700178643,0.39052249203821654
ShapesAll,0.286,0.4429999999999999,0.63,0.639,0.7859999999999999,0.984,1.0,1.0,1.0,1.0,1.0
SonyAIBORobotSurface1,0.54,0.511,0.993,0.8320000000000001,0.973,0.99,0.9731152581152581,0.9591667846524139,0.42201574803149605,0.42239380530973447,0.4178731343283582
SonyAIBORobotSurface2,0.623,0.501,0.638,1.0,0.985,0.979,0.9852766346593507,0.9751884580509816,0.9673998384943193,0.9662912373192747,0.9607632677400119
Strawberry,0.402,0.275,0.342,0.416,0.471,0.695,0.4707435290020697,0.46849712386293146,0.4189228389928953,0.4712600093107619,0.7716552432176725
SwedishLeaf,0.252,0.252,0.816,0.99,0.501,0.997,0.5006679702135631,0.5055392170676908,0.49614652895239847,0.752958975126276,0.7393160224309374
Symbols,0.405,0.59,0.505,0.45,0.513,0.978,0.5127362451419616,0.7867941367846755,0.7857031008309963,0.8043595360691563,0.7953624161139358
SyntheticControl,0.318,0.2,0.557,0.742,0.58,0.99,0.5797104571165609,0.77074580777022,0.7847062078004766,0.7741106388900176,0.7839913794972335
ToeSegmentation1,0.48,0.695,0.4679999999999999,0.947,0.994,1.0,0.9935227820105765,0.9913729523553566,0.997836275866374,0.9899422743940359,0.9835291372661635
ToeSegmentation2,0.469,0.664,0.544,0.894,0.99,0.997,0.9896838003323166,0.9928962616908177,0.987761216447332,0.994184118833976,0.9852034359431503
Trace,0.332,0.5539999999999999,0.636,0.647,0.644,0.8959999999999999,0.6437183404699109,0.6433361730878282,0.6421907345537482,0.6376247869187731,0.5745125536414221
TwoLeadECG,0.725,0.501,0.607,0.996,0.479,0.996,0.4792188204747597,0.46320689951592003,0.46777426602343614,0.47115708696834013,0.7720415688903789
UMD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.213,0.372,0.395,0.978,0.586,0.992,0.5855202253536799,0.40213249647617244,0.4015730561266884,0.405577272000005,0.411135605172973
UWaveGestureLibraryX,0.324,0.201,0.356,0.643,0.3939999999999999,0.987,0.3942514610134796,0.5705040385775784,0.5783609948850104,0.5852423090420017,0.33332410947174773
UWaveGestureLibraryY,0.3,0.201,0.618,0.716,0.588,0.963,0.5879965193353933,0.3968028391064423,0.53888955338806,0.5483240453188103,0.592940928753716
UWaveGestureLibraryZ,0.414,0.201,0.511,0.883,0.602,0.873,0.6016321467081485,0.589249134108214,0.589938973279648,0.3970163833087635,0.33769035682331167
WordSynonyms,0.7,0.743,0.467,0.988,0.8190000000000001,0.995,0.8190996867328404,0.9522400744870745,0.8433807369775932,0.8782790817266364,0.8429632004431464
Yoga,0.5,0.64,0.835,0.541,0.991,0.995,0.9912774075931773,0.9936367891725497,0.9937611348188935,0.996126904759683,0.5032507602757397
